model_name,query_kor,query,core_task,overview,Qwen Answer,,,,gpt4o,,,,GT
Classification-HuggingFace-NTQAI-pedestrian_gender_recognition,"야외 행사 사진에 나온 참가자의 성별을 알아볼 수 있나요?
",Can you identify the gender of the participants in the outdoor event photos?,"The user wants to perform gender classification on individuals in outdoor event photos. The primary sub-goal is to determine the gender (male, female, or other) of each person depicted in the image.",The user's outdoor event photos will be processed by the Classification-HuggingFace-NTQAI-pedestriangenderrecognition model. This model is specifically trained to classify the gender of pedestrians (people) in images. It will analyze each photo to detect and classify the gender of the individuals present. The final output will be a list of detected people with their corresponding gender classifications.,"이런 경우에는 Classification-HuggingFace-NTQAI-pedestriangenderrecognition 모델을 추천할게. 이 모델은 사진 속에 있는 사람의 성별을 구분하는 데 아주 잘 맞춰져 있어. 너가 원하는 것은 외부 행사 사진에서 사람의 성별을 알아내는 거니까, 이 모델이 사진에서 사람들을 찾아내고 그들의 성별을 정확히 분류해주는 역할을 할 수 있어. 이렇게 해서 사진에서 누가 남자인지 여자인지 알 수 있게 돼.",,,,"이런 경우에는 Classification-HuggingFace-NTQAI-pedestriangenderrecognition 모델을 추천할게. 이 모델은 야외 행사 사진 속 참가자들의 성별을 인식하는 데 특화되어 있어, 사진에서 사람을 감지하고 남성이나 여성으로 분류해줘. 사용자가 원하는 건 바로 이런 성별 식별이니까, 이 모델을 사용하면 참가자들의 성별을 정확하게 파악할 수 있을 거야.",,,,"이런 경우에는 Classification-HuggingFace-NTQAI-pedestrian_gender_recognition 모델을 추천할게. 이 모델은 얼굴이나 신체 특징을 분석해 남성과 여성을 구분하는 데 특화되어 있어. 따라서, 너의 야외 행사 사진에서 참가자들의 성별을 식별하는 데 도움이 될 거야."
Classification-HuggingFace-falconsai-nsfw_image_detection,"가족 휴가 사진을 소셜 미디어에 게시하는 것이 안전한지, 그리고 누드 사진이나 부적절한 내용이 포함되어 있는지 확인하는 데 도움을 주시겠습니까?
",Can you help me determine if my family vacation photos are safe to post on social media and if they contain any nudity or inappropriate content?,The user wants to perform a safe content analysis on their family vacation photos to determine if they are appropriate for social media sharing. The primary sub-goal is to detect any nudity or inappropriate content.,"The user's photos will be fed directly into the Classification-HuggingFace-falconsai-nsfwimagedetection model. This model is trained on a large dataset of images, which includes both safe and NSFW (Not Safe For Work) content. It will analyze the images to classify them into categories such as ""nude,"" ""sexy,"" ""hentai,"" or ""safe."" The final output will be a list of photos with their corresponding safety classifications, indicating which ones are safe to post and which contain inappropriate content.","이런 경우에는 Classification-HuggingFace-falconsai-nsfwimagedetection 모델을 추천할게. 이 모델은 사진 속에 부적절한 내용이 있는지 자동으로 분석해주는 기능이 있어. 너가 원하는 것은 가족 여행 사진이 사회적 미디어에 올릴 수 있는지 안전한지 확인하는 거니까, 이 모델이 사진을 봐보고 ""안전"" 또는 ""부적절한 내용이 있음""으로 분류해주는 거야. 이렇게 해서 너의 사진이 올릴 때 부적절한 이미지가 포함되지 않았는지 확신할 수 있을 거야.",,,,"이런 경우에는 이미지 콘텐츠 분석 모델을 추천할게. 이 모델은 가족 휴가 사진을 분석해서 누드나 부적절한 요소가 있는지 확인해줘. 분석 결과로 부적절한 콘텐츠일 가능성을 점수로 보여주니까, 그 점수를 보고 소셜 미디어에 올려도 안전한지 판단할 수 있어. 이렇게 하면 가족 사진을 안심하고 공유할 수 있겠지?",,,,"이런 경우에는 Classification-HuggingFace-falconsai-nsfw_image_detection모델을 추천할게. 이 모델은 이미지 안에 노출이나 성적으로 부적절한 요소가 포함되어 있는지 자동으로 감지해주는 기능에 특화되어 있어. 따라서, 너의 가족 여행 사진이 소셜 미디어에 올려도 안전한지, 부적절한 요소가 없는지를 확인하는 데 도움을 줄 수 있을 거야."
Colorization-DISCO-c0_2,"이 흑백 사진을 컬러로 표현하고 싶습니다. 나무는 녹색 계열로, 사람들은 자연스러운 피부색으로 칠해 주세요.
","I'd like to colorize this black-and-white photo. Please color the trees in shades of green, and the people in natural skin tones.",The user wants to perform colorization on a black-and-white photo. The primary sub-goal is to apply specific color palettes to different objects: green for trees and natural skin tones for people.,"The user's black-and-white photo will be processed by the Colorization-DISCO-c02 model. This model is a powerful colorization tool that can analyze the content of an image and apply realistic colors based on learned patterns. It will analyze the photo, identify objects like trees and people, and apply the specified colors (green for trees, natural skin tones for people). The final output will be a fully colorized version of the original photo.","이런 경우에는 Colorization-DISCO-c02 모델을 추천할게. 이 모델은 흑백 사진을 색상으로 칠해주는 기능이 있어. 너가 원하는 것은 나무를 녹색으로, 사람의 피부를 자연스러운 색으로 칠하는 거니까, 이 모델이 사진을 봐보고 나무나 사람을 알아보고, 그 부분에 네가 원하는 색을 붙여주는 거야. 이렇게 해서 원래 흑백 사진이 자연스럽게 색이 들어가고, 나무는 녹색, 사람들은 자연스러운 피부색으로 생기게 될 거야.",,,,"이런 경우에는 Colorization-DISCO-c0_2 모델을 추천할게. 이 모델은 흑백 사진을 자동으로 인식하고, 장면에 맞는 자연스러운 색을 입히는 데 특화되어 있어. 특히 나무나 사람 같은 객체를 스스로 구분해서, 나무는 초록빛으로, 사람은 자연스러운 피부색으로 색칠해줄 수 있어. 덕분에 사용자가 원하는 부분에 정확하고 사실적인 색을 입힐 수 있어서 정말 잘 맞는 선택이야.",,,,이런 경우에는 Colorization-DISCO-c0_2 모델을 추천할게. 이 모델은 이미지를 다른 색으로 색치하는데 강점이 있어. 너의 흑백 사진을 현실적인 색감으로 되살리는 데 도움이 될 거야.
Colorization-DISCO-rand,"흑백 도시 풍경 사진을 매번 새로운 색상 조합으로 예술적으로 채색할 수 있나요?
",Can you artistically colorize your black and white cityscape photos with new color combinations every time?,"The user wants to perform artistically creative colorization on their black-and-white cityscape photos. The primary sub-goal is to apply new, unique color combinations to the images, allowing for artistic expression and variety.","The user's black-and-white cityscape photos will be processed by the Harmonization-INR-RAW-HAdobe5K model. This model is a powerful image harmonization tool that can add colors to an image while maintaining artistic control. It will analyze the content of the photos (e.g., buildings, streets, people) and apply new, artistically chosen color palettes. The final output will be a set of colorized versions of the original photos, each with a distinct and creative color scheme.","이런 경우에는 Harmonization-INR-RAW-HAdobe5K 모델을 추천할게. 이 모델은 흑백 사진을 색상으로 칠해주는 기능이 있어, 하지만 그게 아니라, 너가 원하는 색상으로 그림처럼 창의적으로 칠해주는 거야. 너가 원하는 건 도시 풍경 사진을 색으로 칠하면서, 각각 다른 찰떡 색상으로 칠해보고 싶은 거니까, 이 모델이 사진을 봐보고 그 안의 건물, 도로, 사람들 같은 것들을 알아보고, 너가 원하는 색으로 그림처럼 칠해줄 거야. 이렇게 하면 원래 흑백 사진이 예쁜 색상으로 변하고, 각각 다른 창의적인 느낌을 줄 수 있어. 예를 들어, 한 장은 고전적인 느낌으로, 다른 한 장은 현대적인 느낌으로 색을 바꿀 수 있어.",,,,"이런 경우에는 '예술적 변화를 위한 랜덤 색상 조합 모델'을 추천할게. 이 모델은 흑백 도시 풍경 사진을 매번 새로운 색상 조합으로 예술적으로 채색해 주는 기능을 가지고 있어. 랜덤한 접근 방식을 사용해서 매번 다른 색상 팔레트를 만들어내니까, 사용자가 원하는 예술적 변화를 충분히 만족시킬 수 있을 거야. 이렇게 하면 사진마다 독특한 분위기를 연출할 수 있어서, 창의적인 작업에 큰 도움이 될 거야.",,,,"이런 경우에는 Colorization-DISCO-rand 모델을 추천할게. 이 모델은 흑백 사진을 예술적으로 색칠하면서, 매번 다른 색 조합으로 새로운 분위기를 만들어주는 특징이 있어. 너의 도시 풍경 사진을 매번 새롭고 다채로운 감성으로 표현하는 데 도움이 될거야."
Deblur-MIMO-UNet-RealBlur,"어젯밤 지하철에서 사진을 찍었는데, 카메라가 흔들려서 얼굴이 잘 안 나왔네요. 자연스러운 부분을 그대로 유지하면서 디테일하고 선명한 이미지로 복원해 주세요.
","Last night on the subway I took a photo, but camera shake made the person’s face unclear. Please restore it to a detailed and crisp image without losing natural features.","The user wants to restore a blurry photograph taken on the subway due to camera shake. The primary goal is to make the person's face clear and detailed, ensuring the restored image is sharp and retains natural features.","The workflow starts with the user's blurry subway photo as input. This image is directly fed into the Deblur-MSSNet-RealBlurJ model. This model is designed for Single Image Deblurring (SIB) and is particularly adept at handling real-world blur scenarios. It analyzes the image to identify the source of the blur, reconstructs the original sharp version, and removes the camera shake. The final output is a new image where the person's face is restored to a detailed and crisp state, achieving the user's goal of natural and feature-preserving restoration.","이런 경우에는 Deblur-MSSNet-RealBlurJ 모델을 추천할게. 이 모델은 흐릿한 사진을 원래 뚜렷한 사진으로 복원하는 기능이 있어. 너가 원하는 건 시내철도에서 찍은 흐린 사진을 카메라 흔들림 때문에 흐릿했던 부분을 제거하고, 사람 얼굴을 다시 선명하게 만들고 싶은 거니까, 이 모델이 사진을 봐보고 흐릿한 원인을 찾아서 사진을 다시 뚜렷하게 만들어줄 거야. 이렇게 하면 얼굴이 다시 선명하고 자연스러운 느낌으로 복원되어, 원래의 사진이 흐릿했던 부분이 사라져서 좋아질 거야.",,,,"이런 경우에는 Deblur-MSSNet-RealBlurR 모델을 추천할게. 이 모델은 실제 환경에서 발생하는 복잡한 모션 블러를 제거하는 데 특화되어 있어, 특히 사람 얼굴처럼 중요한 영역의 세부 디테일을 자연스럽게 복원하는 데 강점을 보여. 사진이 지하철처럼 조명이 어두운 곳에서 찍혔더라도, 흐릿해진 얼굴을 선명하고 현실감 있게 되살려줄 수 있어서 너의 요청에 딱 맞는 모델이야.",,,,"이런 경우에는 Deblur-MIMO-UNet-RealBlur 모델을 추천할게. 이 모델은 흔들린 이미지와 블러를 정밀하게 복원하는 데 특화되어 있어. 따라서, 너의 사진을 자연스러우면서도 선명하게 되살리는 데 도움이 될거야."
Deblur-MSSNet-L-GoPro,"연말 행사에서 찍은 단체 사진이 흐릿하네요. 각 사람의 얼굴과 장식 디테일을 더 명확하게 표현해 주시겠어요?
",The group photo taken at the year-end event is blurry. Can you help me make each person's face and decoration details clearer?,"The user wants to enhance a blurry group photo, with a specific focus on making the faces and decorative elements clearer. This is a single-image enhancement task that requires deblurring and detail restoration.","The workflow takes the blurry group photo as input. This image is processed by the Deblur-MIMO-UNet-RealBlur model. This model is specifically designed to address real-world, complex image deblurring problems. It will analyze the image's motion blur patterns and spatial characteristics to reverse the blur effect. The model will then generate a final output image where the subjects' faces and decorative elements are significantly clearer and sharper than in the original, blurry photograph.","이런 경우에는 Deblur-MIMO-UNet-RealBlur 모델을 추천할게. 이 모델은 흐린 사진을 다시 선명하게 만들기 위해 설계돼. 너가 원하는 건 팀 사진을 다시 선명하게 하고, 특히 얼굴과 장식적인 요소를 더 잘 볼 수 있게 하고 싶은 거니까, 이 모델이 사진을 봐보고 흐릿한 원인을 찾아서 사진을 다시 뚜렷하게 만들어줄 거야. 이렇게 하면 얼굴이 다시 선명하고 장식적인 부분도 더 잘 볼 수 있게 되고, 사진이 원래 흐릿했던 부분이 사라져서 좋아질 거야.",,,,이런 경우에는 Deblur-MSSNet-RealBlurR 모델을 추천할게. 이 모델은 흐릿한 단체 사진을 처리해서 각 인물의 얼굴과 장식 세부사항을 더 선명하게 만들어줘. 그래서 사진의 품질을 개선하고 싶을 때 딱이야. 연말 행사에서 찍은 흐릿한 사진을 또렷하게 만들어서 소중한 순간을 더 잘 기억할 수 있도록 도와줄 거야.,,,,"이런 경우에는 Deblur-MSSNet-L-GoPro 모델을 추천할게. 이 모델은 저조도나 노이즈가 많은 사진을 선명하게 복원하는 데 특화되어 있어서, 피부 질감이나 세밀한 라벨 텍스트 같은 부분을 또렷하게 표현해줄 수 있어. 따라서, 너의 화장품 제품 촬영 사진에서 피부 표현과 라벨을 더욱 선명하게 복원하는 데 도움이 될 거야."
Deblur-MSSNet-RealBlurJ,"온라인에서 받은 회사 조직도 이미지가 흐릿합니다. 텍스트와 선을 더 명확하게 만들어 주시겠어요?
",The company organizational chart image I received online is blurry. Can you help me make the text and lines clearer?,The user wants to improve the clarity of a blurry organizational chart image by making its text and lines more legible and sharp.,"The workflow takes the blurry organizational chart image as input. This image is fed directly into the Deblur-MSSNet-RealBlurJ model, which is a powerful single-model solution for deblurring. The model analyzes the blurred image and reconstructs a clear, sharp version by intelligently reversing the blurring process. The final output is a high-quality image with restored text and lines, making the organizational chart much clearer and easier to read.","이런 경우에는 Deblur-MSSNet-RealBlurJ 모델을 추천할게. 이 모델은 흐린 사진을 다시 선명하게 만들기 위해 설계돼. 너가 원하는 건 조직도 사진을 다시 선명하게 하고, 글자와 선이 더 잘 볼 수 있게 하고 싶은 거니까, 이 모델이 사진을 봐보고 흐릿한 원인을 찾아서 사진을 다시 뚜렷하게 만들어줄 거야. 이렇게 하면 글자와 선이 다시 선명하고, 조직도가 더 쉽게 읽힐 수 있게 되고, 사진이 원래 흐릿했던 부분이 사라져서 좋아질 거야.",,,,"이런 경우에는 Deblur-MSSNet-RealBlurJ 모델을 추천할게. 이 모델은 흐릿한 이미지를 처리해서 더 선명하게 만들어주는 기능을 가지고 있어. 특히 흐릿한 조직도 이미지를 입력하면, 이 모델의 디블러링 알고리즘이 적용돼서 이미지의 텍스트와 선을 더 읽기 쉽게 만들어줘. 그래서 네가 받은 흐릿한 조직도 이미지를 더 명확하게 보고 싶을 때 이 모델이 큰 도움이 될 거야.",,,,"이런 경우에는 Deblur-MSSNet-RealBlurJ 모델을 추천할게. 이 모델은 실제 촬영 과정에서 발생한 블러 현상을 줄이는 데 강점이 있어서, 흐릿한 이미지 속 텍스트와 선을 또렷하게 복원할 수 있어. 따라서, 너의 온라인 조직도 이미지를 선명하게 만들어 글자와 라인이 잘 보이도록 하는 데 도움이 될 거야."
Deblur-MSSNet-RealBlurR,"빵집 진열창에 빵과 케이크 사진을 찍었는데 사진이 흐릿하게 나왔네요. 디저트의 질감과 장식을 선명하게 복원하는 데 도움을 주실 수 있을까요?
","I took a picture of bread and cake in a bakery window, but the photo came out blurry. Can you help me clearly restore the texture and decoration of the desserts?","The user's intent is to restore a blurry photograph of baked goods (bread and cake) by enhancing its clarity and texture.

The primary sub-goal is deblurring, which is the core task. The user also implicitly desires to improve the texture and decoration of the desserts, which is a direct consequence of successful deblurring.","The user's input image, a blurry photograph of bread and cake, is fed directly into the Deblur-MSSNet-RealBlurR model. This model, trained on a dataset of real-world blurry images, analyzes the motion blur patterns and applies a sophisticated, multi-scale decomposition technique to reverse the blur. The model reconstructs a clear, high-resolution version of the original scene, effectively restoring the texture and detail of the desserts.","이런 경우에는 Deblur-MSSNet-RealBlurR 모델을 추천할게. 이 모델은 흐린 사진을 다시 선명하게 만들기 위해 설계돼. 너가 원하는 건 빵과 케이크 사진을 다시 선명하게 하고, 그 사진의 텍스처와 장식을 더 잘 볼 수 있게 하고 싶은 거니까, 이 모델이 사진을 봐보고 흐릿한 원인을 찾아서 사진을 다시 뚜렷하게 만들어줄 거야. 이렇게 하면 빵과 케이크의 텍스처가 더 잘 보이고, 사진이 원래 흐릿했던 부분이 사라져서 좋아질 거야.",,,,"이런 경우에는 Deblur-MSSNet-RealBlurR 모델을 추천할게. 이 모델은 실제 세상의 움직임으로 인해 생긴 블러를 제거하는 데 특화되어 있어서, 빵과 케이크 사진의 흐릿한 부분을 선명하게 만들어 줄 수 있어. 특히 디저트의 질감과 장식을 더 잘 보이게 해줄 거야. 그래서 네가 찍은 빵과 케이크 사진의 디테일을 살려주고, 창문 너머의 맛있는 디저트를 더 생생하게 감상할 수 있도록 도와줄 거야.",,,,"이런 경우에는 Deblur-MSSNet-RealBlurR모델을 추천할게. 이 모델은 실세계 촬영에서 생기는 블러와 잡음을 다룰 수 있도록 학습되어, 디테일은 최대한 보존하면서 거친 입자감과 노이즈를 자연스럽게 줄여주는 데 강점이 있어. 따라서, 너의 사진에서 어색한 흔적 없이 부드럽게 노이즈를 제거하는 데 도움이 될 거야."
Denoise-SwinIR-Noise15,"이 사진에서 자연스럽게 노이즈를 제거하는 방법을 알려주실 수 있나요?
",Can you help me naturally remove some of the noise from this photo?,The user wants to remove noise from a photograph. This is a classic image denoising task.,"The user's noisy photograph is fed directly into the Denoise-SwinIR-Noise25 model. This model, a variant of the Swin Transformer architecture, is specifically trained to remove a moderate level of noise (noise25). It analyzes the image's pixel patterns and structural information to distinguish between noise and actual content, then reconstructs the image in a way that preserves details while eliminating the noise. The final output is a clean version of the original photo with significantly reduced noise.","이런 경우에는 Denoise-SwinIR-Noise25 모델을 추천할게. 이 모델은 흐린 사진을 다시 선명하게 만들기 위해 설계돼. 너가 원하는 건 사진에서 잡음(흐림)을 없애고 싶은 거니까, 이 모델이 사진을 봐보고 잡음과 실제 내용을 구분해서 사진을 다시 선명하게 만들어줄 거야. 이렇게 하면 사진이 더 깨끗하고, 잡음이 사라져서 좋아질 거야.",,,,"이런 경우에는 Denoise-SwinIR-Noise15 모델을 추천할게. 이 모델은 Swin Transformer 구조를 활용해서 이미지의 노이즈를 자연스럽게 줄여주는 데 특화되어 있어. 특히, 이미지의 중요한 디테일과 질감을 잘 보존하면서도 불필요한 변동을 효과적으로 줄여줘. 그래서 사진의 노이즈를 자연스럽게 제거하고 싶을 때 이 모델이 딱이야. 사용자의 요청인 이미지 디노이징을 해결하는 데 큰 도움이 될 거야.",,,,"이런 경우에는 Denoise-SwinIR-Noise15모델을 추천할게. 이 모델은 중간 수준의 노이즈를 부드럽게 줄이면서도, 디테일은 잘 보존하는 데 강점이 있어. 따라서, 너의 사진을 자연스럽고 깔끔하게 보정하는 데 도움이 될거야."
Denoise-SwinIR-Noise25,"이미지를 더 선명하게 하기 위해 중간 수준의 노이즈를 제거할 수 있나요?
",Can you remove some mid-level noise to make the image clearer?,"The user wants to improve the visual quality of an image by removing low-frequency noise that is obscuring details. The goal is to produce a clearer, more visually sharp image.","The workflow begins with the user's noisy image as input. This image is fed directly into the Denoise-SwinIR-Noise50 model. This model, a Swin Transformer-based architecture, is specifically trained to identify and remove noise while preserving fine details. It processes the image to analyze the patterns of the noise and reconstructs the underlying clean image. The final output is a single, denoised image that is significantly clearer and free of the mid-level noise that was present in the original.","이런 경우에는 Denoise-SwinIR-Noise50 모델을 추천할게. 이 모델은 흐린 사진을 다시 선명하게 만들기 위해 설계돼. 너가 원하는 건 사진에서 중간 수준의 잡음(흐림)을 없애고, 그로 인해 흐릿해진 부분을 더 잘 볼 수 있게 하고 싶은 거니까, 이 모델이 사진을 봐보고 잡음과 실제 내용을 구분해서 사진을 다시 선명하게 만들어줄 거야. 이렇게 하면 사진이 더 깨끗하고, 잡음이 사라져서 좋아질 거야.",,,,"이런 경우에는 Denoise-SwinIR-Noise25 모델을 추천할게. 이 모델은 이미지에서 중간 수준의 노이즈를 효과적으로 제거하면서 중요한 디테일을 잘 보존해줘. Swin Transformer를 활용해서 이미지의 계층 구조를 잘 분석하고, 노이즈를 줄여서 더 선명한 이미지를 만들어 주지. 그래서 너의 목표인 이미지의 노이즈 감소와 선명도 향상에 딱 맞는 선택이 될 거야.",,,,"이런 경우에는 Denoise-SwinIR-Noise25 모델을 추천할게. 이 모델은 더 강한 수준의 노이즈까지 효과적으로 제거하면서도, 가장자리와 질감 같은 디테일을 잘 유지할 수 있어. 너의 사진을 선명하고 뭉개짐 없이 안정적으로 개선하는데 도움이 될거야."
