Unnamed: 0,Model Unique Name,train_eng,answer_eng,GT
NSFW Image Detection,Classification-HuggingFace-falconsai-nsfw_image_detection,"Before sharing my personal photos online, can you check if there’s any inappropriate or explicit content in them?","In these cases, I recommend the NSFW image detection model. This model specializes in automatically flagging inappropriate or other content in photos. This will greatly help you check the content of your sticky notes before uploading your personal photos to your storage media.",이런 경우에는 NSFW Image Detection 모델을 추천할게. 이 모델은 사진에 포함된 부적절하거나 노출된 내용을 자동으로 감지해주는 데 특화되어 있어. 그래서 너의 개인 사진을 소셜미디어에 올리기 전에 민감한 내용이 있는지 사전에 확인하는 데 큰 도움이 될 거야.
NSFW Image Detection,Classification-HuggingFace-falconsai-nsfw_image_detection,Can this tool verify if my images are free of nudity or anything NSFW before I upload them to social media?,"In these cases, I recommend the NSFW Image Detection model. This model is effective at detecting sexually inappropriate elements or exposed parts in images. This allows you to preemptively screen out potentially problematic content before sharing a photo.",이런 경우에는 NSFW Image Detection 모델을 추천할게. 이 모델은 이미지에서 성적으로 부적절한 요소나 노출된 부분을 탐지하는 데 효과적이야. 덕분에 사진을 공유하기 전에 문제가 될 수 있는 부분이 있는지 미리 걸러낼 수 있어.
NSFW Image Detection,Classification-HuggingFace-falconsai-nsfw_image_detection,I want to be sure my vacation pictures don’t contain any NSFW content—can you help me check?,"In these cases, I recommend the NSFW Image Detection model. This model automatically analyzes images for sensitive or inappropriate elements, allowing you to review your travel photos with confidence before posting them online.",이런 경우에는 NSFW Image Detection 모델을 추천할게. 이 모델은 이미지 안에 민감하거나 부적절한 요소가 있는지를 자동으로 분석해줘. 그래서 너의 여행 사진을 온라인에 올리기 전에 안심하고 검토할 수 있도록 도와줄 거야.
ResNet-18,Classification-HuggingFace-microsoft-resnet-18,Can you help me quickly identify the main objects shown in this photo?,"In this case, I recommend the ResNet-18 model. This model is a fast and efficient image classification model that can quickly identify key objects in a photo. Therefore, it will be very useful for roughly identifying the key objects in your image.","이런 경우에는 ResNet-18 모델을 추천할게. 이 모델은 속도와 효율성이 뛰어난 이미지 분류 모델이라서, 사진에 담긴 주요 물체들을 빠르게 파악할 수 있어. 그래서 너의 이미지 속 핵심 대상이 뭔지 대략적으로 확인하는 데 아주 유용할 거야."
ResNet-18,Classification-HuggingFace-microsoft-resnet-18,I’m trying to figure out what the key items are in this image — can you give me a general classification?,"In this case, I recommend the ResNet-18 model. This model is simple yet effective at classifying key objects within an image, helping you quickly understand what scene you're capturing.",이런 경우에는 ResNet-18 모델을 추천할게. 이 모델은 복잡하지 않으면서도 이미지 안의 핵심 물체들을 잘 분류해줘. 그래서 너가 어떤 장면을 찍었는지 빠르게 감 잡는 데 도움이 될 거야.
ResNet-18,Classification-HuggingFace-microsoft-resnet-18,What are the most obvious things shown in this picture? I just need a rough idea.”,"In this case, I recommend the ResNet-18 model. This model is optimized for quickly classifying representative objects, making it effective when you want to roughly identify prominent objects in an image.","이런 경우에는 ResNet-18 모델을 추천할게. 이 모델은 대표적인 사물들을 빠르게 분류해주는 데 최적화되어 있어서, 이미지에서 눈에 띄는 물체들이 뭔지 대략적으로 확인하고 싶을 때 효과적이야."
ResNet-50,Classification-HuggingFace-microsoft-resnet-50,I took some camping photos and there are objects like dishes and silverware in them. Can you recognize what they are?,"""In this case, I would recommend the ResNet-50 model. This model can classify a variety of objects with high precision, so it will help you accurately identify items like plates and cutlery in your camping photos.""","이런 경우에는 ResNet-50 모델을 추천할게. 이 모델은 다양한 사물을 정밀하게 분류할 수 있어서, 너의 캠핑 사진 속에 있는 접시나 식기류 같은 물건들을 정확하게 식별하는 데 도움이 될 거야.
"
ResNet-50,Classification-HuggingFace-microsoft-resnet-50,I’m curious what type of everyday items like plates or mugs appear in my outdoor family pictures — can you classify them?,"In this case, I recommend the ResNet-50 model. This model excels at quickly and reliably classifying everyday objects. Therefore, it can effectively identify frequently used objects like cups and plates in outdoor family photos.",이런 경우에는 ResNet-50 모델을 추천할게. 이 모델은 생활 속 물체들을 빠르고 안정적으로 분류하는 데 강점을 가지고 있어. 그래서 가족 야외 사진 속에서 컵이나 접시처럼 자주 쓰는 물건들을 잘 구분해줄 수 있어.
ResNet-50,Classification-HuggingFace-microsoft-resnet-50,There are some kitchen-related items in my camping photos. Can you identify and classify what they are?,"In this case, I recommend the ResNet-50 model. This model can effectively recognize various kitchen utensils and household items in images. Therefore, it will be able to accurately classify the cutlery and similar items in your camping photos.",이런 경우에는 ResNet-50 모델을 추천할게. 이 모델은 다양한 주방 용품이나 생활 도구를 이미지 속에서 효과적으로 인식할 수 있어. 그래서 너의 캠핑 사진에 나오는 식기류나 유사한 물건들을 정확히 분류해줄 수 있을 거야.
ResNet-101,Classification-HuggingFace-microsoft-resnet-101,I took a picture at the park with lots of people and animals. Can you tell me what types of animals are in it and estimate how many people appear?,"In this case, I recommend the ResNet-101 model. This model can recognize objects with high accuracy even in scenes with mixed objects, making it useful for identifying the types of animals and the number of people in park photos.","이런 경우에는 ResNet-101 모델을 추천할게. 이 모델은 다양한 객체가 섞인 장면에서도 높은 정확도로 인식할 수 있어서, 공원 사진 속에 등장하는 동물의 종류나 사람 수를 파악하는 데 도움이 될 거야."
ResNet-101,Classification-HuggingFace-microsoft-resnet-101,My park photo includes several people and some animals. Can you help identify which animals are present and roughly count the people?,"In this case, I recommend the ResNet-101 model. This model can effectively distinguish people and animals even in complex images, allowing you to accurately analyze who is in your park photos and what animals are present.","이런 경우에는 ResNet-101 모델을 추천할게. 이 모델은 복잡한 이미지에서도 인물과 동물을 잘 구분해줄 수 있어서, 너의 공원 사진에 누가 나왔고 어떤 동물이 있는지를 정확하게 분석해줄 수 있어."
ResNet-101,Classification-HuggingFace-microsoft-resnet-101,There are both people and animals in this picture I took at a public park. Can you analyze what animals are visible and how many people appear?,"In this case, I recommend the ResNet-101 model. This model excels at distinguishing multiple objects in a scene. Therefore, it will be helpful in identifying the number of people or animals in your park photos.",이런 경우에는 ResNet-101 모델을 추천할게. 이 모델은 장면 속에 여러 대상이 있을 때 각각을 구별하는 데 강점을 가지고 있어. 그래서 너의 공원 사진 안에 있는 사람 수나 등장하는 동물들을 식별하는 데 도움이 될 거야.
Gender Recognition,Classification-HuggingFace-NTQAI-pedestrian_gender_recognition,I’m trying to figure out the gender of people shown in my outdoor festival pictures. Can you help with that?,"In this case, I recommend the Gender Recognition model. This model specializes in automatically determining gender by analyzing the appearance of people in photos. This will help you determine whether participants in your outdoor event photos are male or female.",이런 경우에는 Gender Recognition 모델을 추천할게. 이 모델은 사진 속 사람들의 외형을 분석해서 성별을 자동으로 판별해주는 기능에 특화되어 있어. 그래서 너의 야외 행사 사진에 나온 참가자들이 남성인지 여성인지 파악하는 데 도움이 될 거야.
Gender Recognition,Classification-HuggingFace-NTQAI-pedestrian_gender_recognition,Can this system detect whether the people in my park event photo are male or female?,"In this case, I recommend the Gender Recognition model. This model is adept at distinguishing between men and women by analyzing faces and body shapes. Therefore, it could be useful for identifying the gender of participants when analyzing photos of park events.",이런 경우에는 Gender Recognition 모델을 추천할게. 이 모델은 인물의 얼굴이나 체형을 분석해서 남성과 여성을 구분해주는 데 능숙해. 그래서 너가 공원 행사 사진을 분석할 때 참가자들의 성별을 식별하는 데 유용하게 쓸 수 있을 거야.
Gender Recognition,Classification-HuggingFace-NTQAI-pedestrian_gender_recognition,I took some group photos during an outdoor meetup. Can you classify the gender of the people in them?,"In this case, I recommend the Gender Recognition model. This model is designed to distinguish the gender of each person in photos of multiple people. So, you can easily identify whether the participants in your outdoor gathering photos are male or female.",이런 경우에는 Gender Recognition 모델을 추천할게. 이 모델은 여러 사람이 나온 사진에서도 각각의 성별을 구분할 수 있도록 설계되어 있어. 그래서 너의 야외 모임 사진에서도 참가자들이 남성인지 여성인지 쉽게 파악할 수 있을 거야.
Latent Diffusion,Inpainting-LatentDiffusion,I have an image with a masked-out region — can you intelligently fill it so it blends in with the rest of the picture?,"In this case, I recommend the Latent Diffusion model. This model excels at filling in hidden areas of an image harmoniously with their surroundings. Therefore, it will be useful for restoring the natural flow of empty areas in your photo.",이런 경우에는 Latent Diffusion 모델을 추천할게. 이 모델은 이미지의 가려진 영역을 주변과 조화롭게 채워 넣는 데 뛰어난 성능을 보여줘. 그래서 너의 사진에서 비어 있는 부분이 자연스럽게 이어지도록 복원하는 데 유용할 거야.
Latent Diffusion,Inpainting-LatentDiffusion,I want to fill in the missing area of a picture using something that makes it look seamless — can you help with that?,"In these cases, I recommend the Latent Diffusion model. This model specializes in creatively restoring empty areas while seamlessly connecting them to the original image background. This allows it to produce inpainting results that naturally blend with your image.","이런 경우에는 Latent Diffusion 모델을 추천할게. 이 모델은 비어 있는 영역을 창의적으로 복원하면서도, 원래 이미지 배경과 어색하지 않게 이어주는 데 특화되어 있어. 그래서 너의 이미지에 자연스럽게 어울리는 인페인팅 결과를 만들어낼 수 있어."
